スポット名,名称カナ,郵便番号,都道府県,市区町村,住所１,住所２,緯度,経度,詳細,営業時間,定休日,駐車場,平均予算,電話番号,URL
日本料理うおかね,,420-0867,静岡県,静岡市葵区馬場町,33,,34.97895391,138.3783158,創業嘉永弐年(1849年)より地元食材を中心に提供しています。特に駿河湾特産の桜海老のかき揚げはそのままで食べれる味と冷めてもサクサクがある絶品。また桜海老を練り込んだ桜海老団子は当店でしか味わえない一品で御土産にも最適。最近人気なのは徳川家康公が好んだ鯛の天婦羅や曜日限定の桜海老と卵の天丼「駿河月見丼」も。,"コース料理（要予約）11:00～21:00　
昼　11:30～14:00（L.O13:30）
夜　17:30～21:00（L.O20:00）
※定食のみL.O19:00",月曜（コース料理を除く）,,,054-252-0394,http://www2.wbs.ne.jp/~uokane/
入船鮨 葵タワー店,いりふねずし あおいたわーてん,420-0852,静岡県,静岡市,葵区紺屋町17-1 地下１階,,34.972754,138.386376,全席禁煙。音楽はJAZZ、足下には荷物入れがある女性に大人気の鮨店です。一品料理もリーズナブルでお洒落なメニューも豊富です。ランチは特にお得で900円から950円で種類も豊富で４品つき。全国共通すし券取扱い店。お気軽にどうぞ！,11:00～22:00,年中無休,,,054-251-9178,http://irifunesushi.net/
入船鮨 南町店,,422-8067,静岡県,静岡市駿河区,南町6-6,,34.9700016,138.3893536,"駅から徒歩3分、リーズナブルな価格で本格江戸前鮨を味わえます。
静岡の繁華街で創業して百年。新鮮なネタを揃える確かな目利きは、大正元年の創業以来変わらない。南店はJRの駅からも近く、平日も休日も立ち寄りやすいのが魅力。ばらちらしは、鮮度抜群の魚介の他、すべて店で手作りされる玉子焼き、かんぴょう、しいたけ、おぼろなどが入り、鮨職人の丁寧な仕事ぶりが伺える一品。
全国共通すし券取扱い店。季節の一品やコース料理あり。宴会、法事又出前も可能。",11:00～22:30,火曜,,,054-282-1158,http://irifunesushi.net/
入船鮨　登呂店,いりふねずし　とろてん,,静岡県,静岡市,駿河区有東2-3-29,,34.9617057,138.4058662,"郊外店らしい家族向けメニューを多数取り揃えております。にぎりもコース料理も明朗会計なので
安心して立ち寄れます。多数個室があり足が楽なテーブル席もあり食事会や法事のお客様に喜ばれています又出前もやっています。
全国共通すし券取扱い店　お気軽にどうぞ！",,,,,054-284-5151,http://irifunesushi.net/
驛前松乃鮨,,,静岡県,静岡市,葵区御幸町9-3,,34.9733678,138.3875564,"静岡駅前にて創業８０年をこえました。静岡の地の魚をメインに、旬の味をお届けしています。
その日に水揚げされたばかりの地魚をご賞味ください。同じ鯵でも味が違います！",,,,,054-251-0123,http://ekimatu.web.fc2.com/
鮨処 やましち,,,静岡県,静岡市,清水区蒲原3-3-10,,35.1189907,138.6057587,"鮨店ですが、すしはもちろん、地元の食材をたいせつにいろいろランチメニューでお楽しみいただけるよう工夫しています。桜えびのやきそば、いわしカレー、地元のフルーツを使った簡単デザートなども人気があります。
※写真付き5か国語メニューあります。JR東海道本線 蒲原駅から徒歩3分",11:30～21:00,火曜,あり,,054-388-2339,http://www.sushi-yamashiti.com
魚匠 ととや,,420-0858,静岡県,静岡市葵区,伝馬町8-9久保田ビル,,34.9749509,138.3879563,地魚とマグロをメインに、とびきり新鮮な刺身や、充実した内容のコース料理が好評の店。1階から5階まで、カウンター、テーブル、個室、座敷といろいろな席が用意され、フロアの貸切や予約も可能。酒は満寿一を基本に各種あり、迷ったら利き酒師と焼酎アドバイザーの資格を持つ店長におすすめを聞いてみて。その日仕入れた魚で作るコース料理は5000円と8000円、スッポンコースも常時楽しめる。1日1組限定、個室を貸切で使える「ランチ懐石」3150円も人気。,11:30～14:00（L.O.)､17:45～22:30(L.O.22:00),日曜（月曜が祝日の場合は営業、月曜休）,,,054-274-0077,http://shizuoka.womo.jp/gourmet/shop/index/ID/94
入船鮨　両替町店,いりふねずし　りょうがえちょうてん,420-0032,静岡県,静岡市葵区,両替町2-7-10,,34.9728151,138.3839123,"大正元年から続く老舗でありながら、新鮮なネタを良心的な価格で提供してくれる『入船鮨』。料金が全て明記されているから、カウンター席初心者でも安心。握りはもちろん、フォアグラやフカヒレといった珍しい品も充実しているのでぜひ味わってみて。コースは3,885円～10,500円まで多種用意されているうえ、法事なら20名以上で無料の送迎バスも有。ランチメニューも945円で常時12種類ご用意。お昼にちょっと贅沢な時間を過ごしてみては。",11:00～翌1:30,無休,,,054-254-1158,http://shizuoka.womo.jp/gourmet/shop/index/ID/20
浜のかきあげや,,421-3103,静岡県,静岡市清水区,由比,由比漁港内,35.097252,138.552711,由比港にいつ行っても行列ができている一角がある。由比港漁協直営の食堂で、皆のお目当てはできたての桜えびのかき揚げ。あつあつサクサクを丼やそばと合わせて楽しめる。,10:00～15:00,3月下旬～6月上旬の月曜、祝日の翌日が休み。それ以外は金・土・日曜のみ営業,,,054-376-0001,http://shizuoka.womo.jp/gourmet/shop/index/ID/458
のっけ家 清水店,,424-0823,静岡県,静岡市清水区,島崎町149河岸の市内,,35.0190681,138.4889914,港直送のマグロは鮮度抜群。キハダマグロ、ビンチョウマグロにイカソーメン、ネギトロとネタは通常のどんぶりの2倍で、活きのいい魚を腹いっぱい食べられるのは水産会社が経営しているから。さしみをより美味しく食べられるようにと開発された特製醤油も見逃せない。お店一番人気のネギトロが添えられているのもうれしい。,9:30～17:30,水曜（祝日の場合は営業、振替休あり）,,,054-355-5077,http://shizuoka.womo.jp/gourmet/shop/index/ID/328
おがわ,,424-0823,静岡県,静岡市清水区,島崎町149清水魚市場河岸の市内,,35.0200208,138.4906717,清水魚市場河岸の市内にある人気店。50年以上マグロの仲介に携わってきた店主の目利きには定評があり、行列が絶えない。イクラや甘エビがのった豪華丼で海の幸をたっぷり味わおう。全席禁煙。,平日11:00～15:00、土・日・祝日10:00～16:00,水曜（GW・お盆・年末年始は河岸の市全体で決定するので水曜営業も有。また月によって連休も有り。）,,,054-352-0202,http://shizuoka.womo.jp/gourmet/shop/index/ID/457
浮殿,,420-0852,静岡県,静岡市葵区,紺屋町11-1浮月楼内,,34.9722235,138.3849178,徳川家15代将軍、徳川慶喜公が20年住み、その後は迎賓館として120年、静岡の街とともに歴史を刻んできた『浮月楼』。その一角に、懐石料理の店『浮殿』がある。慶喜公が愛した美しい庭園を眺めながらの食事は、まるでタイムスリップしたかのよう。ゆっくりとした時間が流れている。料理は、季節によってメニューが変わり、ひとくちごとに季節を感じさせてくれる。また、夜は100種類以上の酒を用意。静岡県内にあるほとんどの蔵元の酒を味わえるそうだ。特別な日はもちろん、ちょっとゆっくり体と心を休めたい、そんな日にぜひ訪れたい。,11:30～15:00（L.O.14:00）、火曜～土曜17:00～22:00（L.O.21:00）、日曜17:00～21:00（L.O.20:00）,月曜（祝日、振替休日の場合は昼のみ営業）,,,054-252-0131,http://shizuoka.womo.jp/gourmet/shop/index/ID/728
割烹旅館 岡屋,おかや,424-0205,静岡県,静岡市清水区,興津本町6,,35.0496589,138.5201265,江戸時代慶応年間創業の老舗旅館。健康志向だった家康が好んで食べた興津鯛をはじめ、鮮度抜群のしずまえ鮮魚を使った伝統の和風創作料理が自慢です。(興津鯛は要予約）静岡市公衆無線LAN「Shizuoka Wi-Fi Paradise」の利用が可能です。,,,,,054-369-0018,http://shizuokapassport.jp/shop/detail/?shop_id=42640&site_id=9
地魚専門店 丼兵衛,,424-0067,静岡県,静岡市清水区,島崎町149清水魚市場「河岸の市」まぐろ館2F,,35.0203235,138.4906467,白身の大トロと呼ばれるあぶらぼうず。この幻の深海魚をはじめとした駿河湾で獲れる地魚と、河岸の市で唯一ふぐを扱う店。隣接のいちば館に店を構える鮮魚店が経営しているので、その目利きは確かなもの。日替りの海鮮丼には、その日のおすすめが4～6種類のる。お子さま連れも気兼ねのない8名用座敷席もあり。,10:00～22:00（L.O.21:00）,無休（水の夜のみ不定休あり）,,,054-353-5544,http://shizuoka.womo.jp/gourmet/shop/index/ID/772
まぐろや やす兵衛,,424-0823,静岡県,静岡市清水区,島崎町149清水魚市場「河岸の市」いちば館,,35.0203235,138.4906467,平成13年の河岸の市オープン時より営業を続ける、いちば館でも歴史ある店。一杯で7種類の新鮮なネタが楽しめる海鮮丼は、ボリュームたっぷりの人気メニュー。マグロ問屋直営だからできる、稀少部位をふんだんに使った「まぐろほほ肉ステーキ丼」1000円(税込)も、一度は食べてみたい。にぎり寿司もおすすめ。,11:00～17:30,水曜（祝日の場合は営業）,,,054-355-5152,http://shizuoka.womo.jp/gourmet/shop/index/ID/773
魚新,うおしん,424-0886,静岡県,静岡市清水区,草薙1-8-20,,35.002152,138.4418651,"昔ながらの魚屋さん「魚新」は、俳優・柴田恭兵さんの実家としても有名。
鮮魚のほかに、魚の煮つけや焼き魚などのお惣菜も店頭に並ぶ。",10:00?19:00,日曜日,,,054-345-7631,
みやもと 河岸の市店,,424-0823,静岡県,静岡市清水区,島崎町149,清水魚市場河岸の市 いちば館,35.0203235,138.4906467,清水魚市場河岸の市オープンと同時に開店して15年。当時は珍しかった仲卸業者経営の飲食店として、ここにしかできない鮮度と価格の丼メニューが楽しめる。特に、まぐろに出逢って50年という社長自ら仕入れてくるマグロは天下一品。その旨みを試すなら、厚切りマグロたっぷりの「本マグロ丼」がオススメだ。板前が調理を担うみやもとには揚げ物も多い。特大アナゴが丸ごと1本のった「あなご天丼」もやはり捨てがたい。,10:00?17:00,清水魚市場河岸の市の休みに準ずる,,,0543-51-9141,http://shizuoka.womo.jp/gourmet/shop/index/ID/945
地酒 地魚 おおいし,,421-0122,静岡県,静岡市駿河区,用宗1-34-21,,34.9257093,138.3682261,創業46年、安くて良い魚を使った魚料理に常連も多く、遠方から食べに来る人も少なくない。煮魚・焼き魚・煮魚などメニューにない料理も可能。なかでも、ここで刺身を食べる人は他では食べない、というほど刺身に定評がある。ぬか床45年自家製お新香も見逃せない。,11:30?14:00、17:30?21:30,月曜、第1・3火曜,,,054-259-6557,http://shizuoka.womo.jp/gourmet/shop/index/ID/936
魚市場食堂,,424-0823,静岡県,静岡市清水区,島崎町149,清水魚市場 河岸の市 まぐろ館,35.0203235,138.4906467,清水魚市場の直営店で、特にマグロを使った定食が充実。「漬けマグロいっぱい丼」が名物で、客がストップをかけるまで好きな分だけ、ぶつ切りマグロを盛ってもらえる。ネタは魚市場でその日セリにかけられたものを使うため、仕入れによってメニューが変わるのも魅力。,10:30～16:00（土・日曜は10:00?）,水曜、河岸の市の休みに準ずる,,,054-351-7113,http://shizuoka.womo.jp/gourmet/shop/index/ID/946
すし処 銀太,,421-3103,静岡県,静岡市清水区,由比今宿165,,35.0982576,138.5531195,由比駅近くにある鮨店。地魚の旨みを最大限に引き出すため、仕入れた魚は新鮮なうちに徹底的な下処理をした後、しばらく熟成させるそう。由比の根付き魚で、定置網漁によって漁獲される「倉沢のアジ」も登場することがある。サクラエビとハダカイワシを食べて育ち、たっぷりと脂ののったその味は感動もの。,11:00～夕方（日によって変動）,無休（仕入れの状況によって臨時休あり）,,,054-375-3004,http://shizuoka.womo.jp/gourmet/shop/index/ID/954
漁協直営　どんぶりハウス,ぎょきょうちょくえいどんぶりはうす,421-0122,静岡県,静岡市駿河区,用宗2-18-1,,34.92495203,138.3678695,"「生シラスを多くの人に食べてもらいたい」そんな思いから、シラスで有名な用宗の漁協が始めた同店。市場直送、ピチピチプリプリのシラスを低価格で味わえる。荒天でシラスが獲れない日や、1月15日?3月下旬の禁漁時以外なら、ぜひその食感を楽しんで。
※しらす漁禁漁期（1月15日～3月20日）中は生シラス丼の販売は行っておりません。",11:00?14:00,"お盆、年末年始、しらす漁禁漁期は木曜定休。
ただし、荒天時は臨時休業することがあります。",,,054-259-2111,
魚格　出口鮮魚店,うおかく　でぐちせんぎょてん,424-0206,静岡県,静岡市清水区,興津清見寺町97,,35.0466676,138.5124663,"昭和の初期から続く老舗の鮮魚店。魚のプロが作る特製のはんぺんは、弾力と固さが特徴。骨ごと使っているのでカルシウムも豊富で人気の商品。

遠方からも絶えずお客様が来店する知名度抜群の人気の鮮魚店。港から近い地の利を活かし、駿河湾の地の魚をふんだんに使った刺身の豊富な品揃えが自慢です。お店オリジナルの揚げはんぺんなど、美味しい加工品もあります。
港から近い地の利を活かし、駿河湾の地の魚をふんだんに使った刺身の豊富な品揃えが自慢です。
お店オリジナルの揚げはんぺんなど、美味しい加工品もあります。",9:00～18:00,土曜,,,054-369-0336,
柿屋,,420-0011,静岡県,静岡市葵区,安西1-75,,34.979928,138.373135,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-271-1388,
割烹 魚長,,420-0011,静岡県,静岡市葵区,安西5-76-1,,34.976723,138.365508,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-271-0829,
(株)魚長支店,,420-0011,静岡県,静岡市葵区,安西5-78,,34.976537,138.365533,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,,,,,054-271-7312,
八百清ストアー,,420-0882,静岡県,静岡市葵区,安東1-18-14,,34.986602,138.38292,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,,,,,054-246-8632,
魚貞,,428-0504,静岡県,静岡市葵区,井川925,,35.22127,138.240745,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,,,,,054-260-2018,
山金スーパー,,420-0966,静岡県,静岡市葵区,羽高54-2,山金スーパー,35.036119,138.392655,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,,,,,054-246-2895,
くさか水産,,421-1217,静岡県,静岡市葵区,羽鳥本町4-28,,34.983994,138.330204,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,,,,,054-278-5295,
桜寿し,,420-0835,静岡県,静岡市葵区,横田町4-13,,34.977062,138.394275,しずまえ鮮魚を美味しいお寿司で食べるならここ！,,,,,054-252-3674,
あづま魚店,,420-0861,静岡県,静岡市葵区,丸山町9,,34.98528,138.376682,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,,,,,054-245-0976,
寿司割烹船正,,420-0046,静岡県,静岡市葵区,吉野町５－３,,34.966299,138.379563,しずまえ鮮魚を美味しいお寿司で食べるならここ！,,,,,054-251-2703,
魚定,,420-0015,静岡県,静岡市葵区,錦町29,,34.97659,138.374902,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,,,,,054-252-2502,
マルシェ青木,,420-0042,静岡県,静岡市葵区,駒形通4-11-19,,34.965849,138.376038,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,,,,,054-254-5617,
(有)鮮魚日の出,,420-0042,静岡県,静岡市葵区,駒形通4-3-21,,34.966302,138.376333,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,,,,,054-253-4447,
沙沙亭,,420-0812,静岡県,静岡市葵区,古庄3-5-13,,34.995338,138.418295,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-263-4645,
どんぶりや,,420-0031,静岡県,静岡市葵区,呉服町2-1-12,冨吉ビル,34.974907,138.382574,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-653-6005,
マルカイ呉服町店,まるかいごふくちょうてん,420-0031,静岡県,静岡市葵区,呉服町2-5-4,,34.974472,138.383264,静岡市役所すぐ側。シラスをはじめ、地元の美味しいお魚、お総菜を中心に販売しております。お客様のご来店お待ちしております。,11:00～19:00,日曜日定休,,,054-272-2822,marukai1.com
活鮮家 もへゑ,,420-0031,静岡県,静岡市葵区,呉服町2-9-11,,34.973604,138.383851,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-253-5575,
驛前松乃鮨,,420-0857,静岡県,静岡市葵区,御幸町９－３,,34.97336,138.387562,しずまえ鮮魚を美味しいお寿司で食べるならここ！,,,,,054-251-0123,
海ぼうずアスティ店,うみぼうず,420-0851,静岡県,静岡市葵区,黒金町4,,34.970843,138.388418,静岡駅構内にあり入口の静岡おでんが目印。しずまえ鮮魚と静岡の地酒がピッタリです！,11:00～23:00,無し,無し,,054-202-1500,http://www.shouetsu.co.jp/
ゆい桜えび館,ゆいさくらえびかん,420-0851,静岡県,静岡市葵区,黒金町49,食彩館,34.972168,138.38874,駿河湾の特産品、桜えび、しらすなど数多くの名産品を取り揃えた由比の観光施設「ゆい桜えび館」のパルシェ店。直売ならではの商品の数々を取り揃えております。,9:30～21:00,無休,,,054-273-3031,http://www.parche.co.jp/shopinfo/yui-sakuraebikan/
魚の北辰,さかなのほくしん,420-0851,静岡県,静岡市葵区,黒金町49,食彩館,34.972168,138.38874,貝類、干物、お刺身と豊富な品揃えの鮮魚店。その日水揚げされた地元の魚が自慢です。,9:30～21:00,無休,,,054-271-9274,http://www.parche.co.jp/shopinfo/sakana-hokushin/
伸漁丸,しんりょうまる,420-0851,静岡県,静岡市葵区,黒金町49,食彩館,34.972168,138.38874,おいしい干物・塩干物を取り扱っているお店。美味しい釜揚げしらすが自慢です。,9:30～21:00,無休,,,054-271-3443,http://www.parche.co.jp/shopinfo/shinryomaru/
水産商協直営店,,420-0851,静岡県,静岡市葵区,黒金町54-3,アスティ静岡東館,34.970935,138.386354,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,,,,,054-288-1621,
水産商協よって家,,420-0851,静岡県,静岡市葵区,黒金町54-4,アスティ静岡東館,34.970935,138.386354,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-288-1662,
浮月楼 浮殿,ふげつろう　うきどの,420-0852,静岡県,静岡市葵区,紺屋町11-1,,34.972224,138.384918,しずまえ鮮魚を食べるならここ！,【昼食】11:30～14:00【夕食】17:00～21:00,月曜日,50台,,054-252-0131,http://www.fugetsuro.co.jp/ukidono/
樹,,420-0852,静岡県,静岡市葵区,紺屋町12-14,クニヨシビル1F,34.972551,138.384576,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-272-2236,
寿し幸 実宇栄,,420-0852,静岡県,静岡市葵区,紺屋町13-6,,34.972179,138.384471,しずまえ鮮魚を美味しいお寿司で食べるならここ！,,,,,054-221-3888,
入船鮨 葵タワー店,,420-0852,静岡県,静岡市葵区,紺屋町17-1,地下１階,34.972754,138.386376,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-251-9178,
鯛や,たいや,420-0852,静岡県,静岡市葵区,紺屋町4-25,,34.97299,138.384851,静岡のおいしさ・豊かさ・温かさを実感して下さい。静岡駅には5分でいけます。,16:30～23:30（L.O.）,日,無し,,054-254-0713,
たかの,,420-0852,静岡県,静岡市葵区,紺屋町5-4,,34.972551,138.385329,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-251-0131,
魚佐,,421-1213,静岡県,静岡市葵区,山崎1-23-1,,34.977784,138.353668,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,,,,,054-278-6092,
覚弥別墅,かくやべっしょ,420-0035,静岡県,静岡市葵区,七間町1-15,,34.974434,138.381815,倉沢鯵　由比港鮮魚の専門店,11:30～14:30、17:30～22:30,無し,無し,,054-255-3388,
日本酒処 きんのお燗,,420-0035,静岡県,静岡市葵区,七間町10-11,,34.973035,138.381013,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-653-4300,
三日月,,420-0035,静岡県,静岡市葵区,七間町13-13,,34.972668,138.380788,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-253-0447,
天文本店,てんぶんほんてん,420-0035,静岡県,静岡市葵区,七間町14-3,,34.972218,138.380196,創業明治12年の老舗、天婦羅専門店「天文本店」。静岡市の中心部にある、桜海老を使った天婦羅料理も多い明治12年創業の老舗店です。2003年末に、お店を全面改装し、新たな気持ちで老舗の味を守りつづけております。桜海老のかき揚げ丼をはじめ、桜海老を使ったお茶漬け、鰻も名物としてお出ししています。 また、当店おすすすめの天茶だけを食べに来られる方も多くいらっしゃいます。その他、各種コース料理、大小各種宴会も承っておりますので、お気軽にお問い合わせ下さいませ。,【昼】11:00～14:30／【夜】17:00～21:00、（土・日・祝日は11:00～21:00）,不定休,近くに契約駐車場有,,054-252-0510,http://tenbun-shizuoka.com
乃だや,,420-0035,静岡県,静岡市葵区,七間町16-10,,34.97191,138.379366,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-254-2919,
料理と咲け とが路,,420-0035,静岡県,静岡市葵区,七間町9-5,トレンズビル1F奥,34.972862,138.381349,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-273-5218,
塩澤魚店,,420-0948,静岡県,静岡市葵区,秋山町8-9,,35.003548,138.363505,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,,,,,054-271-6811,
(有)天峰,（ユウ）テンミネ,420-0036,静岡県,静岡市葵区,駿河町6-3,,34.971165,138.379521,美味しい『しずまえ鮮魚』を食べるならココ！,11:00～14:0016:30～20:00,木曜,一台＋近隣のコインパーキングと提携,,054-255-0131,http://www.tenmine.com
菖蒲,,420-0871,静岡県,静岡市葵区,昭府1-10-25,,34.996382,138.370146,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-272-5120,
福一漁業(株)昭府店,,420-0871,静岡県,静岡市葵区,昭府1-18-15,,34.999915,138.370777,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,,,,,054-273-2913,
佐藤鮮魚店,,420-0871,静岡県,静岡市葵区,昭府2-23-1,,35.00262,138.37069,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,,,,,054-237-2645,
茄子の花 無庵,なすのはなむあん,420-0033,静岡県,静岡市葵区,昭和町1-4,,34.972143,138.384093,毎日由比港より直接しずまえ鮮魚が届きます。,11:30～14:30 17:30～22:30,無し,無し,,054-273-8855,
割烹・海さか,,420-0033,静岡県,静岡市葵区,昭和町3-1,静岡昭和町ビル101号,34.972018,138.383457,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-250-2685,
虹,にじ,420-0033,静岡県,静岡市葵区,昭和町3-14,晴天堂ビル1-Ｂ,34.971907,138.383176,ごはんとお酒が楽しめる虹。レトロな空間でこじんまりとしずまえ鮮魚をお楽しみください！,"火～木19:00～翌5:00
金～日18:00～翌5:00",月曜日,無し,,054-251-6166,
居酒屋 たぬき,,420-0033,静岡県,静岡市葵区,昭和町3-5,昭和ビル,34.972051,138.383362,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-253-1117,
鈴木鮮魚店,,420-0841,静岡県,静岡市葵区,上足洗4-4-4,フレッシュマツバ,34.992082,138.395186,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,,,,,054-246-8935,
むさし,,420-0805,静岡県,静岡市葵区,城北2-2-19,,35.002459,138.391377,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-247-1911,
萬福酒家,,420-0034,静岡県,静岡市葵区,常磐町1-1-3,グリフィンビル1F,34.972637,138.383121,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-272-8998,
食彩 岩生,いわお,420-0034,静岡県,静岡市葵区,常磐町1-2-1,フレンド久喜ビル１Ｆ,34.972848,138.382518,旬のしずまえ鮮魚とオクシズ野菜を使用した「和・創作居酒屋」気軽に和食を楽しむならココ。深夜遅くまでの営業もうれしい！！,17:00～翌3:00,無し,無し,,054-221-4561,Http://iwaoiwao.com
とみ井,とみい,420-0034,静岡県,静岡市葵区,常磐町1-2-7,冨井ビル1階,34.975364,138.38459,ご接待はもちろん、両家の顔合わせ、ご家族、ご友人の誕生日、結婚記念日、還暦祝い、ご法事などさまざまな宴会にご利用いただいております。美味しいお酒とお料理を囲んで大切なひとときをお過ごしください。歓送迎会、忘新年会、ゴルフの打ち上げ、結婚式の2次会など様々な宴会にもご利用いただけます。,11:30～13:30　17:00～22:00,日曜日,無し,,054-274-0666,http://tomi-i.jp/
勇夢路,,420-0034,静岡県,静岡市葵区,常磐町1-5-1,村田ビル２F,34.972349,138.382824,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-253-5121,
飛八,,420-0034,静岡県,静岡市葵区,常磐町1-5-4,パレスビル１F E,34.972165,138.382835,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-221-5685,
ぽん吉,,420-0034,静岡県,静岡市葵区,常磐町1-5-7,,34.972207,138.383082,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-251-6288,
車や,くるまや,420-0034,静岡県,静岡市葵区,常磐町2-2-16,,34.971546,138.381974,しらす、桜えびはもとより、鯵に太刀魚、時には赤ムツも入ります。地場の美味しさこの上なしです。,17:00～21:30L.O.,日,無し,,054-255-5004,
蛍ヶ丘ショッピングセンター,,421-1201,静岡県,静岡市葵区,新間260-1,,34.987592,138.307517,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,,,,,054-278-7670,
神田魚店,,420-0065,静岡県,静岡市葵区,新通1-3-24,,34.97084,138.375958,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,,,,,054-252-6359,
